__run_id,__done,quantization_type,task_name,Inference Time,GPU Energy,Accuracy,GPU Utilization,Memory Usage
run_0_repetition_0,DONE,32-bit,SA,12.676754771065646,431.35291834299284,0.9018369690011481,8.705605878976161,11962.42192881745
run_1_repetition_0,DONE,32-bit,SPS,8.694861657694338,314.0257779107049,0.7211601845748188,5.954515491100857,8123.698088332235
run_2_repetition_0,DONE,32-bit,NLI,8.652572501052637,311.53328874297597,0.4125,5.91751953125,8123.6375
run_3_repetition_0,DONE,8-bit,SA,0.4674633302283179,33.006693259384306,0.9167623421354765,83.2109644087256,13353.416188289324
run_4_repetition_0,DONE,8-bit,SPS,0.29611739795593617,20.25640597462888,0.7063282794990112,55.75346077785102,9079.378378378378
run_5_repetition_0,DONE,8-bit,NLI,0.2902846883176244,19.220358615451985,0.4046875,54.95328125,9081.8575
run_6_repetition_0,DONE,4-bit,SA,0.3838498185460384,37.990457630041064,0.9153846153846155,115.65384615384616,8551.884615384615
run_7_repetition_0,DONE,4-bit,SPS,0.23827493344123574,22.41796495266918,0.7023731048121292,68.88381674357285,5760.417270929466
run_8_repetition_0,DONE,4-bit,NLI,0.2390777538740076,22.918658631313136,0.47250000000000003,70.07859375000001,5760.685625
run_0_repetition_1,DONE,32-bit,SA,12.716142615074576,402.0251132042242,0.9018369690011481,8.738544269602214,11962.42192881745
run_1_repetition_1,DONE,32-bit,SPS,8.629508220508079,270.2458883739471,0.7211601845748188,5.926170072511536,8123.698088332235
run_2_repetition_1,DONE,32-bit,NLI,8.632681839449216,271.14231462199734,0.4125,5.947050781250001,8123.6375
run_3_repetition_1,DONE,8-bit,SA,0.47028805961111725,29.438146458402997,0.9167623421354765,80.69603903559127,13353.416188289324
run_4_repetition_1,DONE,8-bit,SPS,0.2982666246539587,18.117470354879273,0.7063282794990112,54.3333882663151,9079.378378378378
run_5_repetition_1,DONE,8-bit,NLI,0.2918082284153206,17.95320318306228,0.4046875,55.331875,9081.8575
run_6_repetition_1,DONE,4-bit,SA,0.38365169004895366,37.54515118222318,0.9153846153846155,124.96153846153845,8551.884615384615
run_7_repetition_1,DONE,4-bit,SPS,0.23936958364183397,22.346543985308266,0.7023731048121292,70.38035596572182,5760.417270929466
run_8_repetition_1,DONE,4-bit,NLI,0.23981203275790902,22.788822624949013,0.47250000000000003,72.94671875,5760.685625
run_0_repetition_2,DONE,32-bit,SA,12.74621802352927,403.071266965874,0.9018369690011481,8.723272776389546,11962.42192881745
run_1_repetition_2,DONE,32-bit,SPS,8.670592838668693,273.52267115277976,0.7211601845748188,5.985321988056924,8123.698088332235
run_2_repetition_2,DONE,32-bit,NLI,8.715439113833709,273.9218957859422,0.4125,6.00130859375,8123.6375
run_3_repetition_2,DONE,8-bit,SA,0.46954497639848997,29.303154202247093,0.9167623421354765,83.46440872560275,13353.416188289324
run_4_repetition_2,DONE,8-bit,SPS,0.29752685024600106,18.09537950893467,0.7063282794990112,54.10744891232696,9079.378378378378
run_5_repetition_2,DONE,8-bit,NLI,0.2913401150752907,17.94261052979703,0.4046875,53.67375,9081.8575
run_6_repetition_2,DONE,4-bit,SA,0.38167956927074836,37.38951409180706,0.9153846153846155,103.98846153846154,8551.884615384615
run_7_repetition_2,DONE,4-bit,SPS,0.2387566472742591,21.99901827493417,0.7023731048121292,69.2910349373764,5760.417270929466
run_8_repetition_2,DONE,4-bit,NLI,0.23900066647853235,22.543146862594526,0.47250000000000003,71.30953124999999,5760.685625
run_0_repetition_3,DONE,32-bit,SA,12.691854515231622,400.8622293231465,0.9018369690011481,8.739905534544473,11962.42192881745
run_1_repetition_3,DONE,32-bit,SPS,8.609908436207702,271.1363112130999,0.7211601845748188,5.915004943968359,8123.698088332235
run_2_repetition_3,DONE,32-bit,NLI,8.663299551504025,272.723062038341,0.4125,5.957871093750001,8123.6375
run_3_repetition_3,DONE,8-bit,SA,0.4705366640133585,29.51858157843776,0.9167623421354765,81.39867967853043,13353.416188289324
run_4_repetition_3,DONE,8-bit,SPS,0.29598456628076686,18.081611079367313,0.7063282794990112,54.35876730388925,9079.378378378378
run_5_repetition_3,DONE,8-bit,NLI,0.2914144531212514,17.999315159254635,0.4046875,55.465937499999995,9081.8575
run_6_repetition_3,DONE,4-bit,SA,0.3819822413058808,37.75759863146105,0.9153846153846155,121.81923076923077,8551.884615384615
run_7_repetition_3,DONE,4-bit,SPS,0.23847912855129555,22.14557525123402,0.7023731048121292,71.35860250494397,5760.417270929466
run_8_repetition_3,DONE,4-bit,NLI,0.2385759740386857,22.558360456419415,0.47250000000000003,69.42453125,5760.685625
run_0_repetition_4,DONE,32-bit,SA,12.68811005831618,400.01621115024153,0.9018369690011481,8.784286992638616,11962.42192881745
run_1_repetition_4,DONE,32-bit,SPS,8.599915737140403,269.0607717882854,0.7211601845748188,5.9362022083058665,8123.698088332235
run_2_repetition_4,DONE,32-bit,NLI,8.686726547896686,272.15395827523514,0.4125,5.989453125,8123.6375
run_3_repetition_4,DONE,8-bit,SA,0.47009113111376044,29.489638388460882,0.9167623421354765,82.94001148105626,13353.416188289324
run_4_repetition_4,DONE,8-bit,SPS,0.2942408310598157,17.88393564625528,0.7063282794990112,54.41183256427159,9079.378378378378
run_5_repetition_4,DONE,8-bit,NLI,0.2895979052354233,17.856649216950554,0.4046875,54.8625,9081.8575
run_6_repetition_4,DONE,4-bit,SA,0.3832818087691871,37.09142012373415,0.9153846153846155,109.51153846153846,8551.884615384615
run_7_repetition_4,DONE,4-bit,SPS,0.23961068149662196,22.352064575949072,0.7023731048121292,70.50280158206988,5760.417270929466
run_8_repetition_4,DONE,4-bit,NLI,0.2384025176925934,22.67490273215475,0.47250000000000003,70.953125,5760.685625
run_0_repetition_5,DONE,32-bit,SA,12.6950907792108,401.2108271666077,0.9018369690011481,8.757479570473425,11962.42192881745
run_1_repetition_5,DONE,32-bit,SPS,8.640562000654358,272.3824483388254,0.7211601845748188,5.960159854976928,8123.698088332235
run_2_repetition_5,DONE,32-bit,NLI,8.64911802569928,272.05578106000377,0.4125,5.938691406249999,8123.6375
run_3_repetition_5,DONE,8-bit,SA,0.468210526143792,29.376799094773215,0.9167623421354765,83.2020665901263,13353.416188289324
run_4_repetition_5,DONE,8-bit,SPS,0.29608759594971934,18.06564946135998,0.7063282794990112,54.194297956493074,9079.378378378378
run_5_repetition_5,DONE,8-bit,NLI,0.2891710068070097,17.714676583345764,0.4046875,55.31328125,9081.8575
run_6_repetition_5,DONE,4-bit,SA,0.383111583104787,37.627089028185736,0.9153846153846155,98.81538461538462,8551.884615384615
run_7_repetition_5,DONE,4-bit,SPS,0.2391474153066819,22.303244066084112,0.7023731048121292,69.86420566908372,5760.417270929466
run_8_repetition_5,DONE,4-bit,NLI,0.23939579263329508,22.71960567570231,0.47250000000000003,70.70453125,5760.685625
run_0_repetition_6,DONE,32-bit,SA,12.64358598681169,397.55835291806284,0.9018369690011481,8.71093570608496,11962.42192881745
run_1_repetition_6,DONE,32-bit,SPS,8.710548728632624,272.5898144427281,0.7211601845748188,5.960210748768855,8123.698088332235
run_2_repetition_6,DONE,32-bit,NLI,8.653147752918594,271.30491723581395,0.4125,5.933457031250001,8123.6375
run_3_repetition_6,DONE,8-bit,SA,0.4674282097172133,29.166192682055602,0.9167623421354765,81.06027554535017,13353.416188289324
run_4_repetition_6,DONE,8-bit,SPS,0.293718341791704,17.840827443171335,0.7063282794990112,53.344100197758735,9079.378378378378
run_5_repetition_6,DONE,8-bit,NLI,0.29118496673821936,17.933545193592806,0.4046875,55.355937499999996,9081.8575
run_6_repetition_6,DONE,4-bit,SA,0.38161798359539645,37.04909153034323,0.9153846153846155,121.13076923076923,8551.884615384615
run_7_repetition_6,DONE,4-bit,SPS,0.23805124281574686,22.017960535907328,0.7023731048121292,69.79894528675015,5760.417270929466
run_8_repetition_6,DONE,4-bit,NLI,0.23894200835871743,22.638229157893647,0.47250000000000003,71.801875,5760.685625
